ID;Jenis Kelamin;Marital status;Usia;Pendidikan;Pendapatan;Pekerjaan;Settlement size
100000001;Pria;Belum Menikah;67;S1;124670;Amatir;Big
100000002;Wanita;Menikah;22;SMA;150773;Amatir;Big
100000003;Pria;Belum Menikah;49;SMA;89210;Tidak Bekerja;Small
100000004;Pria;Belum Menikah;45;SMA;171565;Amatir;Mid
100000005;Pria;Belum Menikah;53;SMA;149031;Amatir;Mid
100000006;Pria;Belum Menikah;35;SMA;144848;Tidak Bekerja;Small
100000007;Pria;Belum Menikah;53;SMA;156495;Amatir;Mid
100000008;Pria;Belum Menikah;35;SMA;193621;Proffesional;Mid
100000009;Pria;Menikah;61;S1;151591;Tidak Bekerja;Small
100000010;Pria;Menikah;28;SMA;174646;Proffesional;Small
100000011;Wanita;Menikah;25;SMA;108469;Amatir;Small
100000012;Wanita;Menikah;24;SMA;127596;Amatir;Small
100000013;Wanita;Menikah;22;SMA;108687;Amatir;Big
100000014;Pria;Belum Menikah;60;S1;89374;Tidak Bekerja;Small
100000015;Wanita;Menikah;28;SMA;102899;Amatir;Mid
100000016;Wanita;Menikah;32;SMA;88428;Tidak Bekerja;Small
100000017;Pria;Belum Menikah;53;SMA;125550;Amatir;Small
100000018;Pria;Belum Menikah;25;Unknown;157434;Amatir;Big
100000019;Wanita;Menikah;44;S1;261952;Proffesional;Big
100000020;Pria;Belum Menikah;31;Unknown;144657;Amatir;Mid
100000021;Pria;Belum Menikah;48;SMA;118777;Amatir;Mid
100000022;Pria;Belum Menikah;44;SMA;147511;Amatir;Mid
100000023;Pria;Belum Menikah;48;SMA;89804;Tidak Bekerja;Small
100000024;Pria;Belum Menikah;44;SMA;134918;Amatir;Big
100000025;Pria;Menikah;26;SMA;103667;Amatir;Big
100000026;Pria;Belum Menikah;36;SMA;71909;Tidak Bekerja;Small
100000027;Pria;Menikah;39;SMA;68264;Tidak Bekerja;Small
100000028;Wanita;Menikah;42;S1;163025;Amatir;Mid
100000029;Pria;Belum Menikah;34;SMA;119307;Amatir;Mid
100000030;Pria;Belum Menikah;63;S1;175882;Amatir;Small
100000031;Pria;Menikah;36;SMA;159646;Amatir;Mid
100000032;Pria;Belum Menikah;27;Unknown;120131;Amatir;Mid
100000033;Pria;Belum Menikah;30;Unknown;162745;Amatir;Big
100000034;Pria;Belum Menikah;57;S1;87605;Tidak Bekerja;Small
100000035;Wanita;Menikah;33;SMA;155569;Proffesional;Mid
